date,opening,closing,lowest,highest,volume,quantity,amount,avg_price
2019-03-18,15198.98999,15311.0,15060.0,15447.0,4863620.30150746,318.04326159,3993,15292.32305439
2019-03-17,15220.36156,15198.98999,15089.01024,15290.0,694355.90462428,45.81518995,891,15155.58279649
2019-03-16,15150.0,15221.94779,15050.0,15350.0,1193228.30091497,78.32651023,1607,15234.02865021
2019-03-15,15110.0,15240.0,14985.0,15249.453419999998,4084184.34409915,270.08157207,3372,15122.04002959
2019-03-14,15049.99999,15051.96754,14780.09,15200.0,3883525.2204583,258.39135066,3283,15029.625452
2019-03-13,15044.719969999998,15049.99999,14837.0009,15100.0,3279022.57294587,218.83038231,2417,14984.31131149
2019-03-12,14900.01,15044.99999,14800.0,15310.0,4870998.5465567,324.77343854,3505,14998.14322348
2019-03-11,15230.0,14910.0,13800.0,15299.65,4887425.78287027,327.84474875,3503,14907.74460016
2019-03-10,15300.0,15230.0,15180.58,15394.99493,521117.55920624,34.15015249,881,15259.59684092
2019-03-09,15198.99999,15300.0,15103.00001,15400.0,946549.46038924,61.93479976,1144,15282.9986382
2019-03-08,15011.97354,15199.0,14990.77,15450.0,5579562.77904052,365.799792,4817,15253.05071535
2019-03-07,14938.97,15123.71601,14762.0,15300.0,4014791.33458058,266.38672432,4241,15071.28909981
2019-03-06,14403.00023,14830.52,14400.0,14999.99,3580140.04518064,242.89286729,3649,14739.58492534
2019-03-05,14250.69,14535.85524,14200.0,14600.0,1154540.69385986,79.98112259,1287,14435.16490482
2019-03-04,14552.00001,14250.69005,14250.0,14690.5,968161.98490967,67.04232306,1201,14441.05664266
2019-03-03,14708.95999,14552.00023,14535.0002,14800.0,318027.56198992,21.72579811,624,14638.2452962
2019-03-02,14800.03934,14708.0,14600.0099,14826.83,726427.28690567,49.29079423,784,14737.58534942
2019-03-01,14498.99994,14701.0,14385.0,15000.0,3940753.18360572,268.68162883,5062,14666.99900832
2019-02-28,14340.01,14411.0,14324.7,14810.01,3541738.9611699,243.70063852,3021,14533.15421198
2019-02-27,14400.07001,14324.68509,14100.97994,14600.0,3510514.18416925,243.25791157,2958,14431.24361922
2019-02-26,14435.020019999998,14498.0,14342.01001,14746.0,3835354.40331919,264.19677474,2861,14517.03718599
2019-02-25,14549.98,14430.79002,14265.0,14789.0,3807311.00864728,262.49832969,3053,14504.13422875
2019-02-24,15450.0,14550.0,14300.0,15497.0,1755671.15545527,118.4131583,1932,14826.65592794
2019-02-23,14916.0,15450.0,14860.7,15496.98999,1660941.64588193,109.17775226,1713,15213.18777406
2019-02-22,14999.98,14916.0,14861.5,15094.0,2941071.34786573,196.43629742,2682,14972.13797294
2019-02-21,14999.98998,15000.0,14800.0,15099.8,3793543.50284644,254.09325623,3104,14929.72918341
2019-02-20,14645.98,14900.1,14600.0,15100.0,5039211.10666624,338.45177973,4145,14889.00755873
2019-02-19,14519.33786,14601.01,14422.0,14924.89675,3830570.88869911,260.45109457,3456,14707.44784168
2019-02-18,13581.78,14422.00001,13581.78,14949.0,6323700.42235367,440.1904384,4949,14365.82867483
2019-02-17,13502.99,13580.01,13471.9,13680.0,887314.23549599,65.42187226,888,13562.95998124
2019-02-16,13424.411230000003,13520.0,13419.0,13695.0,821181.68522119,60.54699642,942,13562.71547352
2019-02-15,13525.587630000002,13424.29108,13320.0,13643.0,2929101.46906387,216.98604986,2269,13499.03125548
2019-02-14,13699.999780000002,13435.0,13406.32,13797.899980000002,3595976.09131138,263.86937502,2825,13627.86451076
2019-02-13,13588.99994,13606.14006,13489.99,13900.0,4240017.04247611,309.8966891,3262,13682.03401846
2019-02-12,13708.6999,13511.0,13500.0,13900.0,3748933.46811054,275.32953581,3137,13616.16891947
2019-02-11,13324.0,13610.4208,13321.0,13900.0,3755691.71893828,274.72735643,5483,13670.61426915
2019-02-10,13399.99,13324.0,13300.0,13577.0,637214.71719669,47.47403277,821,13422.38440715
2019-02-09,13345.40141,13320.16041,13311.0,13539.39999,895374.12293615,66.81027443,1107,13401.74292914
2019-02-08,12698.81635,13464.52999,12600.0,13945.0,4971624.80539028,377.88620066,3792,13156.40739647
2019-02-07,12590.03,12600.0,12580.00009,12760.8,1926238.58486479,151.98345749,1922,12674.00160962
2019-02-06,12570.4403,12615.0,12550.00061,12830.0,2969622.45608562,234.38612463,2553,12669.78777337
2019-02-05,12600.0,12758.0,12510.5,13000.0,4583683.84617248,359.37990042,4388,12754.42460976
2019-02-04,12520.0,12600.0,12460.25693,12750.0,2559163.39610164,203.25457298,2047,12590.92653405
2019-02-03,12633.00099,12580.0,12510.0,12720.57631,368622.47421868,29.30133579,515,12580.39827469
2019-02-02,12654.0,12633.00095,12600.05,12770.0,507979.14985809,40.09868163,562,12668.22571737
2019-02-01,12502.03,12650.0,12502.0,12837.0,2334211.76796579,184.02072905,2079,12684.50451216
2019-01-31,12900.0,12502.01,12500.3,12949.9999,3282517.19018625,258.86738633,2451,12680.30413843
2019-01-30,12760.0,12937.89811,12705.0,13150.0,2427652.41026107,187.71188605,2030,12932.86462219
2019-01-29,13098.66935,12824.97999,12737.0,13199.27,3253629.66514179,251.57056139,2541,12933.26869075
2019-01-28,13350.00022,13099.32968,12901.0,13400.0,2685577.16282927,204.71175904,2396,13118.82216939
2019-01-27,13510.0,13400.0,13305.69999,13600.01,597353.67758922,44.42507798,634,13446.31691717
2019-01-26,13599.9,13510.0,13503.0,13698.99999,384740.66572628,28.29029742,570,13599.73916196
2019-01-25,13631.0,13600.0,13500.0,13727.99999,2270854.11315744,166.98246452,1950,13599.35679203
2019-01-24,13534.64035,13631.0,13500.99,13760.0,1980997.47400127,145.40757715,1930,13623.75684054
2019-01-23,13801.54,13669.999419999998,13522.01001,13950.0,2259215.31519301,164.3583753,2214,13745.66590275
2019-01-22,13603.0,13800.99,13301.0,13948.0,2982928.91662372,218.55332538,4383,13648.51763951
2019-01-21,13560.501080000002,13649.999930000002,13460.99,13809.95,1923137.06606388,141.30274151,1864,13610.04779888
2019-01-20,14001.00005,13560.120469999998,13531.5,14069.999930000002,1160378.4512156,84.94303863,1220,13660.66566408
2019-01-19,13790.06004,14001.00005,13772.008999999998,14100.0,765122.26868173,54.62593836,902,14006.57437936
2019-01-18,13786.0,13790.06,13625.3,14085.0,2870282.89956196,207.39029977,3454,13840.00554869
2019-01-17,13683.13,13786.10159,13502.00001,14000.0,2561480.7302638,186.14386325,2389,13760.75840235
2019-01-16,13800.0,13683.12991926,13631.0,14100.0,2627744.45433728,190.70932084,2516,13778.79404511
2019-01-15,14188.99994,13789.98,13590.0,14566.0,5609958.76811361,402.49791337,3325,13937.85801556
2019-01-14,13500.0,14117.01,13256.0002,14566.0,3931598.82025613,282.71487358,6895,13906.58641503
2019-01-13,13778.04,13578.69,13221.84,13980.0,1090061.9146748,80.33977922,1138,13568.14675442
2019-01-12,13970.95975,13882.52468,13760.38,14149.12184,444155.7794224,31.96765935,667,13893.90992188
2019-01-11,14049.87994,13970.95975,13700.0,14299.9,4002107.42790448,286.40890486,3149,13973.40431807
2019-01-10,15111.06015,13932.00059,13500.02,15199.0,5053101.68339925,355.06929134,3697,14231.31148382
2019-01-09,15233.0,15111.06007,14930.0,15353.97835,3995499.74070718,263.1576028,4646,15182.915858000002
2019-01-08,15203.00001,15207.0,15057.10001,15449.0,3464337.06736011,227.02472123,2835,15259.73492486
2019-01-07,15052.00002,15203.00001,14900.00001,15499.0,2809860.57861263,185.36383247,2512,15158.62367092
2019-01-06,14686.99933,15052.00002,14499.0,15230.0,1300749.17012014,86.75673285,1232,14993.06310173
2019-01-05,14849.75992,14512.03,14512.0,14849.75992,696907.91622258,47.52765034,781,14663.20996803
2019-01-04,14799.992219999998,14849.81995,14250.0,15197.0,3365857.3931604,229.76933411,2718,14648.85384378
2019-01-03,15119.0,14799.99331,14485.0,15227.73936,4546427.75578541,307.07754249,4678,14805.4713442
2019-01-02,15073.23,15112.0,14900.99,15399.0,3381201.8112965,223.38307227,2575,15136.33856378
2019-01-01,14850.0,15020.0,14790.0,15201.02,480419.54286077,32.12585909,636,14954.29403194
2018-12-31,15229.12346,14880.0,14760.00018,15300.0,1548769.26116011,102.96216631,1450,15042.12000063
2018-12-30,15105.41056,15229.12346,15047.01,15400.0,308759.10948204,20.20258921,459,15283.14545589
2018-12-29,15418.0,15105.0204,15000.0,15586.0,901923.61560816,58.82697598,1011,15331.80314954
2018-12-28,14652.0,15450.0,14301.0,15950.0,3952519.05444782,262.04280132,2951,15083.48649357
2018-12-27,15190.06016,14675.0,14305.05,15794.01,3800678.64975187,254.72126655,2635,14920.93181393
2018-12-26,15698.0,15111.15009,14802.0,15999.0,4321282.37283883,283.2523139,2982,15255.947297799998
2018-12-25,15882.01,15799.69,15000.0,15977.70993,1606268.64140178,104.59207112,1299,15357.46088782
2018-12-24,16135.00002,15988.78984,15357.77,17000.0,3955318.66926067,244.12297548,3198,16202.15656262
2018-12-23,15800.0,16130.000430000002,15550.0,16299.0,1609872.91414149,101.49258229,1419,15861.97609537
2018-12-22,15225.4,15880.0,15080.0,15880.0,1459050.9648976002,94.6413692,1189,15416.62992865
2018-12-21,16198.0,15225.34002,15000.0,16788.0,5348542.29167292,340.60953696,5149,15702.85535575
2018-12-20,15214.34,16295.99999,14700.0,16999.0,6125060.56995626,386.88336305,4164,15831.80140306
2018-12-19,15245.99998,15329.97,14340.0,16445.0,7597885.84506844,498.43417799,4514,15243.50893373
2018-12-18,13700.0,15200.0,13460.0,16000.0,3901928.55809253,273.93860074,3276,14243.80699693
2018-12-17,12650.0,13725.9999,12501.0,13995.0,4274047.58057261,318.78354443,3403,13407.36576668
2018-12-16,12665.27984,12650.0,12526.59034,12797.55,464909.39412568,36.6851186,612,12672.9696364
2018-12-15,12850.0,12528.08061,12501.0,12860.0,662358.0653709001,52.33157565,825,12656.94864226
2018-12-14,13052.05351,12850.00001,12600.0,13144.0,2843100.27105261,221.69060971,2476,12824.63102416
2018-12-13,13305.11,13139.27976,12909.0,13684.0,2735861.73447776,205.3116779,2911,13325.40731467
2018-12-12,13308.72,13305.11,13262.05,13632.0,2447058.63535775,182.13252399,3533,13435.59393868
2018-12-11,13450.0,13301.4,13117.06001,13822.0,2553965.23568148,190.99939751,2548,13371.58791586
2018-12-10,13800.00015,13406.01,13401.0,14195.0,3840696.93059488,279.54543567,3514,13739.07937859
2018-12-09,13371.23999,13800.00005,13151.00292,14100.0,1010381.71574524,73.81539952,962,13687.952949899998
2018-12-08,13501.0,13379.29993,13000.83,13501.0,794107.78418445,60.16598178,836,13198.61756911
2018-12-07,13269.99994,13501.0,12544.0,13699.0,4546480.20141581,345.66909566,3653,13152.69504418
